code,name,market,unknown1,unknown2,unknown3,price,bonus1,bonus2
399380,国证ETF,0,100,423194,2,1117.295,0,0
399381,1000能源,0,100,41364,2,2207.717,0,0
399382,1000材料,0,100,157974,2,1870.467,0,0
399383,1000工业,0,100,138026,2,1811.101,0,0
399384,1000可选,0,100,80265,2,2727.678,0,0
399385,1000消费,0,100,34435,2,6454.930,0,0
399386,1000医药,0,100,43415,2,5239.266,0,0
399387,1000金融,0,100,247239,2,4345.737,0,0
399388,1000信息,0,100,151790,2,2532.841,0,0
399389,国证通信,0,100,37170,2,2828.071,0,0
399390,1000公用,0,100,20987,2,1925.396,0,0
399391,投资时钟,0,100,95041,2,2098.645,0,0
399392,国证新兴,0,100,137726,2,1667.145,0,0
399393,国证地产,0,100,43349,2,5094.769,0,0
399394,国证医药,0,100,39320,2,7866.056,0,0
399395,国证有色,0,100,55832,2,3023.877,0,0
399396,国证食品,0,100,22066,2,11236.969,0,0
399397,OCT文化,0,100,46379,2,1566.521,0,0
399398,绩效指数,0,100,78082,2,6506.312,0,0
399399,中经GDP,0,100,332875,2,5540.877,0,0
399400,大中盘,0,100,673492,2,2714.151,0,0
399401,中小盘,0,100,531111,2,2792.470,0,0
399402,周期100,0,100,208574,2,2477.521,0,0
399403,防御100,0,100,84323,2,5247.279,0,0
399404,大盘低波,0,100,139938,2,5192.315,0,0
399405,大盘高贝,0,100,139836,2,1572.072,0,0
399406,中盘低波,0,100,94988,2,8686.488,0,0
399407,中盘高贝,0,100,91943,2,1725.903,0,0
399408,小盘低波,0,100,98886,2,8849.857,0,0
399409,小盘高贝,0,100,67661,2,2841.140,0,0
399410,苏州率先,0,100,26394,2,1535.604,0,0
399411,红利100,0,100,127670,2,2577.500,0,0
399412,国证新能,0,100,49200,2,1362.300,0,0
399413,国证转债,0,100,536,2,104.584,0,0
399415,I100,0,100,57319,2,4222.235,0,0
399416,I300,0,100,138169,2,2917.825,0,0
399417,新能源车,0,100,31981,2,1465.952,0,0
399418,国证国安,0,100,102795,2,2154.657,0,0
399419,国证高铁,0,100,31423,2,1468.599,0,0
399420,国证保证,0,100,84698,2,1099.399,0,0
399422,中关村A,0,100,121528,2,2152.943,0,0
399423,中关村50,0,100,62064,2,1962.525,0,0
399427,专利领先,0,100,42149,2,1987.184,0,0
399428,国证定增,0,100,69370,2,1854.940,0,0
399429,新丝路,0,100,62922,2,975.618,0,0
399431,国证银行,0,100,83050,2,6128.095,0,0
399432,国证汽车,0,100,21802,2,2655.562,0,0
399433,国证交运,0,100,41580,2,1535.888,0,0
399434,国证传媒,0,100,30083,2,1809.257,0,0
399435,国证农牧,0,100,19586,2,2526.542,0,0
399436,国证煤炭,0,100,18118,2,2605.633,0,0
399437,国证证券,0,100,82109,2,4320.271,0,0
399438,国证电力,0,100,20625,2,1652.355,0,0
399439,国证油气,0,100,25659,2,1684.915,0,0
399440,国证钢铁,0,100,47442,2,1394.028,0,0
399441,生物医药,0,100,8610,2,2205.987,0,0
399481,企债指数,0,100,479,2,127.320,0,0
399550,央视50,0,100,72631,2,5639.131,0,0
399551,央视创新,0,100,53725,2,4730.213,0,0
399552,央视成长,0,100,62718,2,6070.935,0,0
399553,央视回报,0,100,35991,2,4439.909,0,0
399554,央视治理,0,100,92459,2,5797.796,0,0
399555,央视责任,0,100,92235,2,3819.479,0,0
399556,央视生态,0,100,40911,2,1311.037,0,0
399557,央视文化,0,100,47699,2,1260.734,0,0
399602,中小成长,0,100,86225,2,844.702,0,0
399604,中小价值,0,100,62438,2,1062.462,0,0
399606,创业板R,0,100,69337,2,1334.158,0,0
399608,科技100,0,100,77149,2,1734.625,0,0
399610,TMT50,0,100,95272,2,3503.801,0,0
399611,中创100R,0,100,109790,2,1482.668,0,0
399612,中创100,0,100,109790,2,1359.077,0,0
399613,深证能源,0,100,11629,2,2505.445,0,0
399614,深证材料,0,100,68367,2,2059.775,0,0
399615,深证工业,0,100,96499,2,1858.672,0,0
399616,深证可选,0,100,54906,2,4384.830,0,0
399617,深证消费,0,100,17753,2,6908.836,0,0
399618,深证医药,0,100,23637,2,7818.160,0,0
399619,深证金融,0,100,42249,2,4316.436,0,0
399620,深证信息,0,100,126778,2,2487.837,0,0
399621,深证电信,0,100,15862,2,2375.011,0,0
399622,深证公用,0,100,8766,2,1472.205,0,0
399623,中小基础,0,100,271826,2,5376.109,0,0
399624,中创400,0,100,214263,2,1315.769,0,0
399625,中创500,0,100,324053,2,1226.466,0,0
399626,中创成长,0,100,133898,2,1041.002,0,0
399627,中创价值,0,100,106567,2,1313.327,0,0
399628,700成长,0,100,104837,2,1343.630,0,0
399629,700价值,0,100,94113,2,1570.809,0,0
399630,1000成长,0,100,230869,2,1038.316,0,0
399631,1000价值,0,100,213939,2,1413.056,0,0
399632,深100EW,0,100,158326,2,3160.747,0,0
399633,深300EW,0,100,316303,2,3727.578,0,0
399634,中小板EW,0,100,94012,2,2605.226,0,0
399635,创业板EW,0,100,69337,2,1247.751,0,0
399636,深证装备,0,100,58149,2,2360.323,0,0
399637,深证地产,0,100,21788,2,4062.147,0,0
399638,深证环保,0,100,31983,2,2600.508,0,0
399639,深证大宗,0,100,37519,2,1713.396,0,0
399640,创业基础,0,100,157028,2,1214.694,0,0
399641,深证新兴,0,100,179987,2,1332.172,0,0
399642,中小新兴,0,100,69015,2,1238.383,0,0
399643,创业新兴,0,100,72003,2,1407.942,0,0
399644,深证时钟,0,100,67199,2,2477.174,0,0
399645,100低波,0,100,62264,2,6992.343,0,0
399646,深消费50,0,100,40139,2,5452.042,0,0
399647,深医药50,0,100,23805,2,8027.541,0,0
399648,深证GDP,0,100,111818,2,7117.952,0,0
399649,中小红利,0,100,29510,2,2071.000,0,0
399650,中小治理,0,100,28198,2,1550.532,0,0
399651,中小责任,0,100,34119,2,1271.803,0,0
399652,中创高新,0,100,19272,2,1529.754,0,0
399653,深证龙头,0,100,85923,2,1637.214,0,0
399654,深证文化,0,100,53136,2,2102.225,0,0
399655,深证绩效,0,100,52440,2,6030.391,0,0
399656,100绩效,0,100,158326,2,3980.606,0,0
399657,300绩效,0,100,316303,2,4313.237,0,0
399658,中小绩效,0,100,94012,2,3047.006,0,0
399659,深成指EW,0,100,411170,2,2692.210,0,0
399660,中创EW,0,100,109790,2,1614.584,0,0
399661,深证低波,0,100,92689,2,4244.244,0,0
399662,深证高贝,0,100,132565,2,1183.663,0,0
399663,中小低波,0,100,70007,2,1163.528,0,0
399664,中小高贝,0,100,73909,2,720.416,0,0
399665,中创低波,0,100,130611,2,1234.224,0,0
399666,中创高贝,0,100,133289,2,963.056,0,0
399667,创业板G,0,100,56033,2,1695.245,0,0
399668,创业板V,0,100,44304,2,1961.752,0,0
399669,深证农业,0,100,29751,2,5724.417,0,0
399670,深周期50,0,100,87380,2,2161.629,0,0
399671,深防御50,0,100,38744,2,5038.243,0,0
399672,深红利50,0,100,27539,2,2809.603,0,0
399673,创业板50,0,100,44424,2,1039.068,0,0
399674,深A医药,0,100,40457,2,1572.581,0,0
399675,深互联网,0,100,67170,2,2145.147,0,0
399676,深医药EW,0,100,40457,2,1966.301,0,0
399677,深互联EW,0,100,67170,2,2568.759,0,0
399678,深次新股,0,100,15321,2,696.450,0,0
399679,深证200R,0,100,157976,2,3394.826,0,0
399680,深成能源,0,100,7129,2,519.258,0,0
399681,深成材料,0,100,59605,2,754.740,0,0
399682,深成工业,0,100,54807,2,761.201,0,0
399683,深成可选,0,100,45385,2,1303.623,0,0
399684,深成消费,0,100,18646,2,1366.670,0,0
399685,深成医药,0,100,20429,2,1571.177,0,0
399686,深成金融,0,100,62639,2,1357.589,0,0
399687,深成信息,0,100,125019,2,1630.344,0,0
399688,深成电信,0,100,14093,2,1120.273,0,0
399689,深成公用,0,100,3413,2,876.827,0,0
399690,中小专利,0,100,17676,2,1271.015,0,0
399691,创业专利,0,100,18983,2,1788.161,0,0
399692,创业低波,0,100,48768,2,1882.768,0,0
399693,安防产业,0,100,28645,2,2437.691,0,0
399694,创业高贝,0,100,44979,2,1721.048,0,0
399695,深证节能,0,100,46334,2,1718.273,0,0
399696,深证创投,0,100,54952,2,1533.055,0,0
399697,中关村60,0,100,36589,2,2960.133,0,0
399698,优势成长,0,100,10768,2,12055.532,0,0
399699,金融科技,0,100,34032,2,2414.948,0,0
399701,深证F60,0,100,95927,2,5743.280,0,0
399702,深证F120,0,100,144980,2,5276.928,0,0
399703,深证F200,0,100,213119,2,5062.079,0,0
399704,深证上游,0,100,32966,2,2943.249,0,0
399705,深证中游,0,100,145773,2,1714.583,0,0
399706,深证下游,0,100,79329,2,4284.189,0,0
399707,CSSW证券,0,100,98188,2,4660.657,0,0
399802,500深市,0,100,176380,2,3849.977,0,0
399803,工业4.0,0,100,49494,2,1591.796,0,0
399804,中证体育,0,100,5374,2,1111.071,0,0
399805,互联金融,0,100,80169,2,2197.013,0,0
399806,环境治理,0,100,23270,2,1313.335,0,0
399807,高铁产业,0,100,16526,2,1383.906,0,0
399808,中证新能,0,100,46418,2,1149.444,0,0
399809,保险主题,0,100,31630,2,2134.403,0,0
399810,CSSW传媒,0,100,31755,2,2171.668,0,0
399811,CSSW电子,0,100,89983,2,1805.704,0,0
399812,养老产业,0,100,66109,2,6198.306,0,0
399813,中证国安,0,100,78633,2,3499.153,0,0
399814,大农业,0,100,25848,2,896.172,0,0
399817,生态100,0,100,36878,2,1073.184,0,0
399901,小康指数,0,100,166701,2,4576.691,0,0
399903,中证100,0,100,276711,2,3438.121,0,0
399904,中证 200,0,100,209601,2,3038.823,0,0
399905,中证 500,0,100,308082,2,4234.421,0,0
399908,300 能源,0,100,20636,2,1738.609,0,0
399909,300 材料,0,100,61489,2,1831.241,0,0
399910,300 工业,0,100,63986,2,1884.356,0,0
399911,300 可选,0,100,28098,2,4350.702,0,0
399912,300 消费,0,100,12102,2,11900.412,0,0
399913,300 医药,0,100,20446,2,8732.166,0,0
399914,300 金融,0,100,195129,2,5680.553,0,0
399917,300 公用,0,100,9775,2,1710.886,0,0
399918,300 成长,0,100,135205,2,3544.135,0,0
399919,300 价值,0,100,191034,2,4406.670,0,0
