secID,intoDate,secShortName,ticker,consID,consShortName,consTickerSymbol,consExchangeCD,outDate,isNew
399986.ZICN,20100104,中证银行,399986,601169.XSHG,北京银行,601169,XSHG,,1
399986.ZICN,20100104,中证银行,399986,601998.XSHG,中信银行,601998,XSHG,,1
399986.ZICN,20100104,中证银行,399986,601328.XSHG,交通银行,601328,XSHG,,1
399986.ZICN,20100104,中证银行,399986,601398.XSHG,工商银行,601398,XSHG,,1
399986.ZICN,20100104,中证银行,399986,601939.XSHG,建设银行,601939,XSHG,,1
399986.ZICN,20100104,中证银行,399986,600000.XSHG,浦发银行,600000,XSHG,,1
399986.ZICN,20100104,中证银行,399986,600015.XSHG,华夏银行,600015,XSHG,,1
399986.ZICN,20100104,中证银行,399986,601988.XSHG,中国银行,601988,XSHG,,1
399986.ZICN,20100104,中证银行,399986,002142.XSHE,宁波银行,002142,XSHE,,1
399986.ZICN,20100104,中证银行,399986,601009.XSHG,南京银行,601009,XSHG,,1
399986.ZICN,20100104,中证银行,399986,000001.XSHE,平安银行,000001,XSHE,,1
399986.ZICN,20100104,中证银行,399986,600016.XSHG,民生银行,600016,XSHG,,1
399986.ZICN,20100104,中证银行,399986,600036.XSHG,招商银行,600036,XSHG,,1
399986.ZICN,20100104,中证银行,399986,601166.XSHG,兴业银行,601166,XSHG,,1
399986.ZICN,20110104,中证银行,399986,601288.XSHG,农业银行,601288,XSHG,,1
399986.ZICN,20110104,中证银行,399986,601818.XSHG,光大银行,601818,XSHG,,1
399986.ZICN,20170612,中证银行,399986,002807.XSHE,江阴银行,002807,XSHE,,1
399986.ZICN,20170612,中证银行,399986,002839.XSHE,张家港行,002839,XSHE,,1
399986.ZICN,20170612,中证银行,399986,600926.XSHG,杭州银行,600926,XSHG,,1
399986.ZICN,20170612,中证银行,399986,601997.XSHG,贵阳银行,601997,XSHG,,1
399986.ZICN,20170612,中证银行,399986,600919.XSHG,江苏银行,600919,XSHG,,1
399986.ZICN,20170612,中证银行,399986,601229.XSHG,上海银行,601229,XSHG,,1
399986.ZICN,20171211,中证银行,399986,603323.XSHG,苏农银行,603323,XSHG,,1
399986.ZICN,20171211,中证银行,399986,601128.XSHG,常熟银行,601128,XSHG,,1
399986.ZICN,20171211,中证银行,399986,600908.XSHG,无锡银行,600908,XSHG,,1
399986.ZICN,20180611,中证银行,399986,601838.XSHG,成都银行,601838,XSHG,,1
399986.ZICN,20190617,中证银行,399986,601577.XSHG,长沙银行,601577,XSHG,,1
399986.ZICN,20190617,中证银行,399986,601860.XSHG,紫金银行,601860,XSHG,,1
399986.ZICN,20190617,中证银行,399986,002948.XSHE,青岛银行,002948,XSHE,,1
399986.ZICN,20190617,中证银行,399986,002936.XSHE,郑州银行,002936,XSHE,,1
399986.ZICN,20191216,中证银行,399986,002958.XSHE,青农商行,002958,XSHE,,1
399986.ZICN,20191216,中证银行,399986,600928.XSHG,西安银行,600928,XSHG,,1
399986.ZICN,20200615,中证银行,399986,002966.XSHE,苏州银行,002966,XSHE,,1
399986.ZICN,20200615,中证银行,399986,601077.XSHG,渝农商行,601077,XSHG,,1
399986.ZICN,20200615,中证银行,399986,601658.XSHG,邮储银行,601658,XSHG,,1
399986.ZICN,20200615,中证银行,399986,601916.XSHG,浙商银行,601916,XSHG,,1
