secID,intoDate,secShortName,ticker,consID,consShortName,consTickerSymbol,consExchangeCD,outDate,isNew
000905.ZICN,20070115,中证500,000905,000006.XSHE,深振业A,000006,XSHE,,1
000905.ZICN,20070115,中证500,000905,000016.XSHE,深康佳A,000016,XSHE,20120104,0
000905.ZICN,20070115,中证500,000905,000028.XSHE,国药一致,000028,XSHE,,1
000905.ZICN,20070115,中证500,000905,000032.XSHE,深桑达A,000032,XSHE,20100104,0
000905.ZICN,20070115,中证500,000905,000033.XSHE,新都退,000033,XSHE,20090105,0
000905.ZICN,20070115,中证500,000905,000037.XSHE,深南电A,000037,XSHE,20070702,0
000905.ZICN,20070115,中证500,000905,000040.XSHE,东旭蓝天,000040,XSHE,20110104,0
000905.ZICN,20070115,中证500,000905,000042.XSHE,中洲控股,000042,XSHE,20140616,0
000905.ZICN,20070115,中证500,000905,000046.XSHE,泛海控股,000046,XSHE,20070702,0
000905.ZICN,20070115,中证500,000905,000049.XSHE,德赛电池,000049,XSHE,20070702,0
000905.ZICN,20070115,中证500,000905,000050.XSHE,深天马A,000050,XSHE,20150615,0
000905.ZICN,20070115,中证500,000905,000062.XSHE,深圳华强,000062,XSHE,20110701,0
000905.ZICN,20070115,中证500,000905,000065.XSHE,北方国际,000065,XSHE,20070702,0
000905.ZICN,20070115,中证500,000905,000070.XSHE,特发信息,000070,XSHE,20090105,0
000905.ZICN,20070115,中证500,000905,000078.XSHE,海王生物,000078,XSHE,,1
000905.ZICN,20070115,中证500,000905,000090.XSHE,天健集团,000090,XSHE,,1
000905.ZICN,20070115,中证500,000905,000096.XSHE,广聚能源,000096,XSHE,20090701,0
000905.ZICN,20070115,中证500,000905,000151.XSHE,中成股份,000151,XSHE,20100104,0
000905.ZICN,20070115,中证500,000905,000155.XSHE,川能动力,000155,XSHE,20110104,0
000905.ZICN,20070115,中证500,000905,000158.XSHE,常山北明,000158,XSHE,20130104,0
000905.ZICN,20070115,中证500,000905,000301.XSHE,东方盛虹,000301,XSHE,20070702,0
000905.ZICN,20070115,中证500,000905,000407.XSHE,胜利股份,000407,XSHE,20120702,0
000905.ZICN,20070115,中证500,000905,000416.XSHE,民生控股,000416,XSHE,20110701,0
000905.ZICN,20070115,中证500,000905,000417.XSHE,合肥百货,000417,XSHE,20171211,0
000905.ZICN,20070115,中证500,000905,000419.XSHE,通程控股,000419,XSHE,20100104,0
000905.ZICN,20070115,中证500,000905,000420.XSHE,吉林化纤,000420,XSHE,20090701,0
000905.ZICN,20070115,中证500,000905,000421.XSHE,南京公用,000421,XSHE,20100104,0
000905.ZICN,20070115,中证500,000905,000426.XSHE,兴业矿业,000426,XSHE,,1
000905.ZICN,20070115,中证500,000905,000428.XSHE,华天酒店,000428,XSHE,20130104,0
000905.ZICN,20070115,中证500,000905,000501.XSHE,鄂武商A,000501,XSHE,,1
000905.ZICN,20070115,中证500,000905,000504.XSHE,*ST生物,000504,XSHE,20100104,0
000905.ZICN,20070115,中证500,000905,000510.XSHE,新金路,000510,XSHE,20150615,0
000905.ZICN,20070115,中证500,000905,000511.XSHE,烯碳退,000511,XSHE,20160613,0
000905.ZICN,20070115,中证500,000905,000513.XSHE,丽珠集团,000513,XSHE,20100104,0
000905.ZICN,20070115,中证500,000905,000515.XSHE,攀渝钛业,000515,XSHE,20090506,0
000905.ZICN,20070115,中证500,000905,000518.XSHE,四环生物,000518,XSHE,20080102,0
000905.ZICN,20070115,中证500,000905,000522.XSHE,白云山A,000522,XSHE,20130426,0
000905.ZICN,20070115,中证500,000905,000524.XSHE,岭南控股,000524,XSHE,20090105,0
000905.ZICN,20070115,中证500,000905,000525.XSHE,红太阳,000525,XSHE,20160613,0
000905.ZICN,20070115,中证500,000905,000530.XSHE,冰山冷热,000530,XSHE,20090105,0
000905.ZICN,20070115,中证500,000905,000531.XSHE,穗恒运A,000531,XSHE,20090701,0
000905.ZICN,20070115,中证500,000905,000532.XSHE,华金资本,000532,XSHE,20110701,0
000905.ZICN,20070115,中证500,000905,000533.XSHE,顺钠股份,000533,XSHE,20130701,0
000905.ZICN,20070115,中证500,000905,000537.XSHE,广宇发展,000537,XSHE,20120702,0
000905.ZICN,20070115,中证500,000905,000543.XSHE,皖能电力,000543,XSHE,20080102,0
000905.ZICN,20070115,中证500,000905,000548.XSHE,湖南投资,000548,XSHE,20110701,0
000905.ZICN,20070115,中证500,000905,000551.XSHE,创元科技,000551,XSHE,20090105,0
000905.ZICN,20070115,中证500,000905,000554.XSHE,泰山石油,000554,XSHE,20130701,0
000905.ZICN,20070115,中证500,000905,000563.XSHE,陕国投A,000563,XSHE,,1
000905.ZICN,20070115,中证500,000905,000570.XSHE,苏常柴A,000570,XSHE,20090701,0
000905.ZICN,20070115,中证500,000905,000571.XSHE,*ST大洲,000571,XSHE,20130104,0
000905.ZICN,20070115,中证500,000905,000572.XSHE,*ST海马,000572,XSHE,20080102,0
000905.ZICN,20070115,中证500,000905,000573.XSHE,粤宏远A,000573,XSHE,20110104,0
000905.ZICN,20070115,中证500,000905,000576.XSHE,广东甘化,000576,XSHE,20090701,0
000905.ZICN,20070115,中证500,000905,000584.XSHE,哈工智能,000584,XSHE,20120104,0
000905.ZICN,20070115,中证500,000905,000585.XSHE,ST东电,000585,XSHE,20090105,0
000905.ZICN,20070115,中证500,000905,000589.XSHE,贵州轮胎,000589,XSHE,20110701,0
000905.ZICN,20070115,中证500,000905,000594.XSHE,国恒退,000594,XSHE,20120702,0
000905.ZICN,20070115,中证500,000905,000597.XSHE,东北制药,000597,XSHE,20130104,0
000905.ZICN,20070115,中证500,000905,000598.XSHE,兴蓉环境,000598,XSHE,20100104,0
