secID,intoDate,secShortName,ticker,consID,consShortName,consTickerSymbol,consExchangeCD,outDate,isNew
000015.ZICN,20050104,上证红利,000015,600001.XSHG,邯郸钢铁,600001,XSHG,20091230,0
000015.ZICN,20050104,上证红利,000015,600008.XSHG,首创股份,600008,XSHG,20130104,0
000015.ZICN,20050104,上证红利,000015,600010.XSHG,包钢股份,600010,XSHG,20060104,0
000015.ZICN,20050104,上证红利,000015,600011.XSHG,华能国际,600011,XSHG,20191216,0
000015.ZICN,20050104,上证红利,000015,DY600018.XSHG,上港集箱,DY600018,XSHG,20060104,0
000015.ZICN,20050104,上证红利,000015,600019.XSHG,宝钢股份,600019,XSHG,20171211,0
000015.ZICN,20050104,上证红利,000015,600028.XSHG,中国石化,600028,XSHG,,1
000015.ZICN,20050104,上证红利,000015,600057.XSHG,厦门象屿,600057,XSHG,20060104,0
000015.ZICN,20050104,上证红利,000015,600059.XSHG,古越龙山,600059,XSHG,20100104,0
000015.ZICN,20050104,上证红利,000015,600087.XSHG,退市长油,600087,XSHG,20110104,0
000015.ZICN,20050104,上证红利,000015,600098.XSHG,广州发展,600098,XSHG,20151214,0
000015.ZICN,20050104,上证红利,000015,600102.XSHG,莱钢股份,600102,XSHG,20070104,0
000015.ZICN,20050104,上证红利,000015,600104.XSHG,上汽集团,600104,XSHG,20100104,0
000015.ZICN,20050104,上证红利,000015,600126.XSHG,杭钢股份,600126,XSHG,20120104,0
000015.ZICN,20050104,上证红利,000015,600130.XSHG,波导股份,600130,XSHG,20070104,0
000015.ZICN,20050104,上证红利,000015,600135.XSHG,乐凯胶片,600135,XSHG,20070104,0
000015.ZICN,20050104,上证红利,000015,600151.XSHG,航天机电,600151,XSHG,20080102,0
000015.ZICN,20050104,上证红利,000015,600153.XSHG,建发股份,600153,XSHG,20131216,0
000015.ZICN,20050104,上证红利,000015,600177.XSHG,雅戈尔,600177,XSHG,,1
000015.ZICN,20050104,上证红利,000015,600189.XSHG,吉林森工,600189,XSHG,20060104,0
000015.ZICN,20050104,上证红利,000015,600207.XSHG,安彩高科,600207,XSHG,20070104,0
000015.ZICN,20050104,上证红利,000015,600210.XSHG,紫江企业,600210,XSHG,20130104,0
000015.ZICN,20050104,上证红利,000015,600223.XSHG,鲁商置业,600223,XSHG,20060104,0
000015.ZICN,20050104,上证红利,000015,600231.XSHG,凌钢股份,600231,XSHG,20090105,0
000015.ZICN,20050104,上证红利,000015,600236.XSHG,桂冠电力,600236,XSHG,20130104,0
000015.ZICN,20050104,上证红利,000015,600282.XSHG,南钢股份,600282,XSHG,20090105,0
000015.ZICN,20050104,上证红利,000015,600302.XSHG,标准股份,600302,XSHG,20090105,0
000015.ZICN,20050104,上证红利,000015,600303.XSHG,曙光股份,600303,XSHG,20080102,0
000015.ZICN,20050104,上证红利,000015,600307.XSHG,酒钢宏兴,600307,XSHG,20100104,0
000015.ZICN,20050104,上证红利,000015,600323.XSHG,瀚蓝环境,600323,XSHG,20080102,0
000015.ZICN,20050104,上证红利,000015,600357.XSHG,承德钒钛,600357,XSHG,20091230,0
000015.ZICN,20050104,上证红利,000015,600383.XSHG,金地集团,600383,XSHG,20080102,0
000015.ZICN,20050104,上证红利,000015,600418.XSHG,江淮汽车,600418,XSHG,20100104,0
000015.ZICN,20050104,上证红利,000015,600500.XSHG,中化国际,600500,XSHG,20060104,0
000015.ZICN,20050104,上证红利,000015,600508.XSHG,上海能源,600508,XSHG,20090105,0
000015.ZICN,20050104,上证红利,000015,600548.XSHG,深高速,600548,XSHG,20120104,0
000015.ZICN,20050104,上证红利,000015,600563.XSHG,法拉电子,600563,XSHG,20080102,0
000015.ZICN,20050104,上证红利,000015,600569.XSHG,安阳钢铁,600569,XSHG,20100104,0
000015.ZICN,20050104,上证红利,000015,600581.XSHG,八一钢铁,600581,XSHG,20090105,0
000015.ZICN,20050104,上证红利,000015,600598.XSHG,北大荒,600598,XSHG,20131216,0
000015.ZICN,20050104,上证红利,000015,600600.XSHG,青岛啤酒,600600,XSHG,20060104,0
000015.ZICN,20050104,上证红利,000015,600621.XSHG,华鑫股份,600621,XSHG,20110104,0
000015.ZICN,20050104,上证红利,000015,600626.XSHG,申达股份,600626,XSHG,20120104,0
000015.ZICN,20050104,上证红利,000015,600635.XSHG,大众公用,600635,XSHG,20060104,0
000015.ZICN,20050104,上证红利,000015,600642.XSHG,申能股份,600642,XSHG,,1
000015.ZICN,20050104,上证红利,000015,600675.XSHG,中华企业,600675,XSHG,20080102,0
000015.ZICN,20050104,上证红利,000015,600682.XSHG,南京新百,600682,XSHG,20060104,0
000015.ZICN,20050104,上证红利,000015,600761.XSHG,安徽合力,600761,XSHG,20070104,0
000015.ZICN,20050104,上证红利,000015,600808.XSHG,马钢股份,600808,XSHG,20100104,0
000015.ZICN,20050104,上证红利,000015,600884.XSHG,杉杉股份,600884,XSHG,20060104,0
000015.ZICN,20060104,上证红利,000015,600005.XSHG,武钢股份,600005,XSHG,20131216,0
000015.ZICN,20060104,上证红利,000015,600015.XSHG,华夏银行,600015,XSHG,20181217,0
000015.ZICN,20060104,上证红利,000015,600020.XSHG,中原高速,600020,XSHG,20070104,0
000015.ZICN,20060104,上证红利,000015,600066.XSHG,宇通客车,600066,XSHG,,1
000015.ZICN,20060104,上证红利,000015,600300.XSHG,维维股份,600300,XSHG,20100104,0
000015.ZICN,20060104,上证红利,000015,600475.XSHG,华光股份,600475,XSHG,20070104,0
000015.ZICN,20060104,上证红利,000015,600510.XSHG,黑牡丹,600510,XSHG,20090105,0
000015.ZICN,20060104,上证红利,000015,600688.XSHG,上海石化,600688,XSHG,20080102,0
000015.ZICN,20060104,上证红利,000015,600718.XSHG,东软集团,600718,XSHG,20070104,0
000015.ZICN,20060104,上证红利,000015,600894.XSHG,广日股份,600894,XSHG,20070104,0
000015.ZICN,20070104,上证红利,000015,600033.XSHG,福建高速,600033,XSHG,20130104,0
000015.ZICN,20070104,上证红利,000015,600064.XSHG,南京高科,600064,XSHG,20110104,0
000015.ZICN,20070104,上证红利,000015,600096.XSHG,云天化,600096,XSHG,20110104,0
000015.ZICN,20070104,上证红利,000015,600189.XSHG,吉林森工,600189,XSHG,20080102,0
000015.ZICN,20070104,上证红利,000015,600317.XSHG,营口港,600317,XSHG,20080102,0
000015.ZICN,20070104,上证红利,000015,600327.XSHG,大东方,600327,XSHG,20080102,0
000015.ZICN,20070104,上证红利,000015,600533.XSHG,栖霞建设,600533,XSHG,20141215,0
000015.ZICN,20070104,上证红利,000015,600886.XSHG,国投电力,600886,XSHG,20120104,0
000015.ZICN,20070104,上证红利,000015,600022.XSHG,山东钢铁,600022,XSHG,20110104,0
000015.ZICN,20070104,上证红利,000015,600971.XSHG,恒源煤电,600971,XSHG,20090105,0
000015.ZICN,20080102,上证红利,000015,600010.XSHG,包钢股份,600010,XSHG,20110104,0
000015.ZICN,20080102,上证红利,000015,600012.XSHG,皖通高速,600012,XSHG,20090105,0
000015.ZICN,20080102,上证红利,000015,600021.XSHG,上海电力,600021,XSHG,20090105,0
000015.ZICN,20080102,上证红利,000015,600026.XSHG,中远海能,600026,XSHG,20130104,0
000015.ZICN,20080102,上证红利,000015,600196.XSHG,复星医药,600196,XSHG,20110104,0
000015.ZICN,20080102,上证红利,000015,600202.XSHG,哈空调,600202,XSHG,20090105,0
000015.ZICN,20080102,上证红利,000015,600348.XSHG,阳泉煤业,600348,XSHG,20120104,0
000015.ZICN,20080102,上证红利,000015,600500.XSHG,中化国际,600500,XSHG,20151214,0
000015.ZICN,20080102,上证红利,000015,600863.XSHG,内蒙华电,600863,XSHG,20100104,0
000015.ZICN,20080102,上证红利,000015,600997.XSHG,开滦股份,600997,XSHG,20110104,0
000015.ZICN,20090105,上证红利,000015,600006.XSHG,东风汽车,600006,XSHG,20120104,0
000015.ZICN,20090105,上证红利,000015,600102.XSHG,莱钢股份,600102,XSHG,20120104,0
000015.ZICN,20090105,上证红利,000015,600270.XSHG,外运发展,600270,XSHG,20120104,0
000015.ZICN,20090105,上证红利,000015,600331.XSHG,宏达股份,600331,XSHG,20100104,0
000015.ZICN,20090105,上证红利,000015,600350.XSHG,山东高速,600350,XSHG,20120104,0
000015.ZICN,20090105,上证红利,000015,600428.XSHG,中远海特,600428,XSHG,20110104,0
000015.ZICN,20090105,上证红利,000015,600497.XSHG,驰宏锌锗,600497,XSHG,20131216,0
000015.ZICN,20090105,上证红利,000015,600588.XSHG,用友网络,600588,XSHG,20141215,0
000015.ZICN,20090105,上证红利,000015,600641.XSHG,万业企业,600641,XSHG,20110104,0
000015.ZICN,20090105,上证红利,000015,601006.XSHG,大秦铁路,601006,XSHG,,1
000015.ZICN,20100104,上证红利,000015,600309.XSHG,万华化学,600309,XSHG,20161212,0
000015.ZICN,20100104,上证红利,000015,600664.XSHG,哈药股份,600664,XSHG,20130104,0
