secID,intoDate,secShortName,ticker,consID,consShortName,consTickerSymbol,consExchangeCD,outDate,isNew
399006.ZICN,20100601,创业板指,399006,300016.XSHE,北陆药业,300016,XSHE,20120402,0
399006.ZICN,20100601,创业板指,399006,300002.XSHE,神州泰岳,300002,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300010.XSHE,立思辰,300010,XSHE,20130401,0
399006.ZICN,20100601,创业板指,399006,300001.XSHE,特锐德,300001,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300004.XSHE,南风股份,300004,XSHE,20160701,0
399006.ZICN,20100601,创业板指,399006,300008.XSHE,天海防务,300008,XSHE,20130401,0
399006.ZICN,20100601,创业板指,399006,300003.XSHE,乐普医疗,300003,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300006.XSHE,莱美药业,300006,XSHE,20151123,0
399006.ZICN,20100601,创业板指,399006,300007.XSHE,汉威科技,300007,XSHE,20130401,0
399006.ZICN,20100601,创业板指,399006,300014.XSHE,亿纬锂能,300014,XSHE,20160104,0
399006.ZICN,20100601,创业板指,399006,300009.XSHE,安科生物,300009,XSHE,20150701,0
399006.ZICN,20100601,创业板指,399006,300011.XSHE,鼎汉技术,300011,XSHE,20120104,0
399006.ZICN,20100601,创业板指,399006,300005.XSHE,探路者,300005,XSHE,20161010,0
399006.ZICN,20100601,创业板指,399006,300013.XSHE,新宁物流,300013,XSHE,20110104,0
399006.ZICN,20100601,创业板指,399006,300023.XSHE,宝德股份,300023,XSHE,20110104,0
399006.ZICN,20100601,创业板指,399006,300012.XSHE,华测检测,300012,XSHE,20160701,0
399006.ZICN,20100601,创业板指,399006,300018.XSHE,中元股份,300018,XSHE,20120402,0
399006.ZICN,20100601,创业板指,399006,300071.XSHE,华谊嘉信,300071,XSHE,20110401,0
399006.ZICN,20100601,创业板指,399006,300017.XSHE,网宿科技,300017,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300015.XSHE,爱尔眼科,300015,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300019.XSHE,硅宝科技,300019,XSHE,20110701,0
399006.ZICN,20100601,创业板指,399006,300020.XSHE,银江股份,300020,XSHE,20181008,0
399006.ZICN,20100601,创业板指,399006,300028.XSHE,金亚科技,300028,XSHE,20131008,0
399006.ZICN,20100601,创业板指,399006,300022.XSHE,吉峰科技,300022,XSHE,20140401,0
399006.ZICN,20100601,创业板指,399006,300024.XSHE,机器人,300024,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300021.XSHE,大禹节水,300021,XSHE,20140102,0
399006.ZICN,20100601,创业板指,399006,300033.XSHE,同花顺,300033,XSHE,20130104,0
399006.ZICN,20100601,创业板指,399006,300027.XSHE,华谊兄弟,300027,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300026.XSHE,红日药业,300026,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300025.XSHE,华星创业,300025,XSHE,20120402,0
399006.ZICN,20100601,创业板指,399006,300031.XSHE,宝通科技,300031,XSHE,20110701,0
399006.ZICN,20100601,创业板指,399006,300034.XSHE,钢研高纳,300034,XSHE,20160401,0
399006.ZICN,20100601,创业板指,399006,300032.XSHE,金龙机电,300032,XSHE,20120402,0
399006.ZICN,20100601,创业板指,399006,300029.XSHE,天龙光电,300029,XSHE,20130401,0
399006.ZICN,20100601,创业板指,399006,300035.XSHE,中科电气,300035,XSHE,20120402,0
399006.ZICN,20100601,创业板指,399006,300036.XSHE,超图软件,300036,XSHE,20130701,0
399006.ZICN,20100601,创业板指,399006,300030.XSHE,阳普医疗,300030,XSHE,20131008,0
399006.ZICN,20100601,创业板指,399006,300041.XSHE,回天新材,300041,XSHE,20130104,0
399006.ZICN,20100601,创业板指,399006,300038.XSHE,数知科技,300038,XSHE,20110401,0
399006.ZICN,20100601,创业板指,399006,300037.XSHE,新宙邦,300037,XSHE,20130104,0
399006.ZICN,20100601,创业板指,399006,300040.XSHE,九洲电气,300040,XSHE,20110701,0
399006.ZICN,20100601,创业板指,399006,300039.XSHE,上海凯宝,300039,XSHE,20160701,0
399006.ZICN,20100601,创业板指,399006,300042.XSHE,朗科科技,300042,XSHE,20110401,0
399006.ZICN,20100601,创业板指,399006,300045.XSHE,华力创通,300045,XSHE,20111010,0
399006.ZICN,20100601,创业板指,399006,300049.XSHE,福瑞股份,300049,XSHE,20111010,0
399006.ZICN,20100601,创业板指,399006,300047.XSHE,天源迪科,300047,XSHE,20120104,0
399006.ZICN,20100601,创业板指,399006,300048.XSHE,合康新能,300048,XSHE,20140701,0
399006.ZICN,20100601,创业板指,399006,300050.XSHE,世纪鼎利,300050,XSHE,20130401,0
399006.ZICN,20100601,创业板指,399006,300044.XSHE,赛为智能,300044,XSHE,20120402,0
399006.ZICN,20100601,创业板指,399006,300046.XSHE,台基股份,300046,XSHE,20121008,0
399006.ZICN,20100601,创业板指,399006,300043.XSHE,星辉娱乐,300043,XSHE,20130701,0
399006.ZICN,20100601,创业板指,399006,300051.XSHE,三五互联,300051,XSHE,20111010,0
399006.ZICN,20100601,创业板指,399006,300052.XSHE,中青宝,300052,XSHE,20161010,0
399006.ZICN,20100601,创业板指,399006,300054.XSHE,鼎龙股份,300054,XSHE,20160104,0
399006.ZICN,20100601,创业板指,399006,300053.XSHE,欧比特,300053,XSHE,20130701,0
399006.ZICN,20100601,创业板指,399006,300057.XSHE,万顺股份,300057,XSHE,20141008,0
399006.ZICN,20100601,创业板指,399006,300055.XSHE,万邦达,300055,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300056.XSHE,三维丝,300056,XSHE,20110401,0
399006.ZICN,20100601,创业板指,399006,300058.XSHE,蓝色光标,300058,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300059.XSHE,东方财富,300059,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300061.XSHE,康旗股份,300061,XSHE,20110104,0
399006.ZICN,20100601,创业板指,399006,300062.XSHE,中能电气,300062,XSHE,20110701,0
399006.ZICN,20100601,创业板指,399006,300066.XSHE,三川智慧,300066,XSHE,20110701,0
399006.ZICN,20100601,创业板指,399006,300063.XSHE,天龙集团,300063,XSHE,20110104,0
399006.ZICN,20100601,创业板指,399006,300065.XSHE,海兰信,300065,XSHE,20110701,0
399006.ZICN,20100601,创业板指,399006,300064.XSHE,豫金刚石,300064,XSHE,20140401,0
399006.ZICN,20100601,创业板指,399006,300068.XSHE,南都电源,300068,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300073.XSHE,当升科技,300073,XSHE,20120702,0
399006.ZICN,20100601,创业板指,399006,300070.XSHE,碧水源,300070,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300076.XSHE,GQY视讯,300076,XSHE,20110701,0
399006.ZICN,20100601,创业板指,399006,300072.XSHE,三聚环保,300072,XSHE,,1
399006.ZICN,20100601,创业板指,399006,300069.XSHE,金利华电,300069,XSHE,20110104,0
399006.ZICN,20100601,创业板指,399006,300067.XSHE,安诺其,300067,XSHE,20110401,0
399006.ZICN,20100601,创业板指,399006,300075.XSHE,数字政通,300075,XSHE,20110701,0
399006.ZICN,20100601,创业板指,399006,300078.XSHE,思创医惠,300078,XSHE,20130104,0
399006.ZICN,20100601,创业板指,399006,300074.XSHE,华平股份,300074,XSHE,20130104,0
399006.ZICN,20100601,创业板指,399006,300079.XSHE,数码科技,300079,XSHE,20180102,0
399006.ZICN,20100601,创业板指,399006,300077.XSHE,国民技术,300077,XSHE,20180702,0
399006.ZICN,20100603,创业板指,399006,300083.XSHE,劲胜智能,300083,XSHE,20120402,0
399006.ZICN,20100603,创业板指,399006,300082.XSHE,奥克股份,300082,XSHE,20131008,0
399006.ZICN,20100603,创业板指,399006,300084.XSHE,海默科技,300084,XSHE,20110104,0
399006.ZICN,20100603,创业板指,399006,300081.XSHE,恒信东方,300081,XSHE,20110401,0
399006.ZICN,20100609,创业板指,399006,300087.XSHE,荃银高科,300087,XSHE,20130701,0
399006.ZICN,20100609,创业板指,399006,300086.XSHE,康芝药业,300086,XSHE,20110701,0
399006.ZICN,20100609,创业板指,399006,300088.XSHE,长信科技,300088,XSHE,,1
399006.ZICN,20100609,创业板指,399006,300085.XSHE,银之杰,300085,XSHE,20110104,0
399006.ZICN,20100625,创业板指,399006,300080.XSHE,易成新能,300080,XSHE,20131008,0
399006.ZICN,20100625,创业板指,399006,300091.XSHE,金通灵,300091,XSHE,20121008,0
399006.ZICN,20100625,创业板指,399006,300090.XSHE,盛运环保,300090,XSHE,20181008,0
399006.ZICN,20100625,创业板指,399006,300089.XSHE,文化长城,300089,XSHE,20110401,0
399006.ZICN,20100708,创业板指,399006,300093.XSHE,金刚玻璃,300093,XSHE,20130701,0
399006.ZICN,20100708,创业板指,399006,300094.XSHE,国联水产,300094,XSHE,20121008,0
399006.ZICN,20100708,创业板指,399006,300092.XSHE,科新机电,300092,XSHE,20110401,0
399006.ZICN,20100728,创业板指,399006,300098.XSHE,高新兴,300098,XSHE,20110401,0
399006.ZICN,20100728,创业板指,399006,300096.XSHE,易联众,300096,XSHE,20170703,0
