secID,intoDate,secShortName,ticker,consID,consShortName,consTickerSymbol,consExchangeCD,outDate,isNew
399005.ZICN,20061227,中小板指,399005,002001.XSHE,新和成,002001,XSHE,,1
399005.ZICN,20061227,中小板指,399005,002017.XSHE,东信和平,002017,XSHE,20130104,0
399005.ZICN,20061227,中小板指,399005,002002.XSHE,鸿达兴业,002002,XSHE,20080922,0
399005.ZICN,20061227,中小板指,399005,002003.XSHE,伟星股份,002003,XSHE,20120702,0
399005.ZICN,20061227,中小板指,399005,002004.XSHE,华邦健康,002004,XSHE,20180702,0
399005.ZICN,20061227,中小板指,399005,002005.XSHE,德豪润达,002005,XSHE,20160701,0
399005.ZICN,20061227,中小板指,399005,002006.XSHE,精功科技,002006,XSHE,20100701,0
399005.ZICN,20061227,中小板指,399005,002007.XSHE,华兰生物,002007,XSHE,,1
399005.ZICN,20061227,中小板指,399005,002008.XSHE,大族激光,002008,XSHE,,1
399005.ZICN,20061227,中小板指,399005,002009.XSHE,天奇股份,002009,XSHE,20120104,0
399005.ZICN,20061227,中小板指,399005,002010.XSHE,传化智联,002010,XSHE,20120702,0
399005.ZICN,20061227,中小板指,399005,002011.XSHE,盾安环境,002011,XSHE,20160701,0
399005.ZICN,20061227,中小板指,399005,002012.XSHE,凯恩股份,002012,XSHE,20080922,0
399005.ZICN,20061227,中小板指,399005,002013.XSHE,中航机电,002013,XSHE,20080519,0
399005.ZICN,20061227,中小板指,399005,002014.XSHE,永新股份,002014,XSHE,20120104,0
399005.ZICN,20061227,中小板指,399005,002015.XSHE,霞客环保,002015,XSHE,20110104,0
399005.ZICN,20061227,中小板指,399005,002016.XSHE,世荣兆业,002016,XSHE,20080519,0
399005.ZICN,20061227,中小板指,399005,002018.XSHE,*ST华信,002018,XSHE,20110104,0
399005.ZICN,20061227,中小板指,399005,002019.XSHE,亿帆医药,002019,XSHE,20110104,0
399005.ZICN,20061227,中小板指,399005,002020.XSHE,京新药业,002020,XSHE,20070917,0
399005.ZICN,20061227,中小板指,399005,002021.XSHE,中捷资源,002021,XSHE,20080922,0
399005.ZICN,20061227,中小板指,399005,002022.XSHE,科华生物,002022,XSHE,20170703,0
399005.ZICN,20061227,中小板指,399005,002023.XSHE,海特高新,002023,XSHE,20180102,0
399005.ZICN,20061227,中小板指,399005,002024.XSHE,苏宁易购,002024,XSHE,,1
399005.ZICN,20061227,中小板指,399005,002025.XSHE,航天电器,002025,XSHE,20150701,0
399005.ZICN,20061227,中小板指,399005,002026.XSHE,山东威达,002026,XSHE,20080519,0
399005.ZICN,20061227,中小板指,399005,002027.XSHE,分众传媒,002027,XSHE,20100104,0
399005.ZICN,20061227,中小板指,399005,002028.XSHE,思源电气,002028,XSHE,20160104,0
399005.ZICN,20061227,中小板指,399005,002029.XSHE,七匹狼,002029,XSHE,20150701,0
399005.ZICN,20061227,中小板指,399005,002030.XSHE,达安基因,002030,XSHE,20180702,0
399005.ZICN,20061227,中小板指,399005,002031.XSHE,巨轮智能,002031,XSHE,20090119,0
399005.ZICN,20061227,中小板指,399005,002032.XSHE,苏泊尔,002032,XSHE,20080121,0
