secID,intoDate,secShortName,ticker,consID,consShortName,consTickerSymbol,consExchangeCD,outDate,isNew
000992.ZICN,20110802,中证全指金融,000992,000001.XSHE,平安银行,000001,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,000002.XSHE,万科A,000002,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,000006.XSHE,深振业A,000006,XSHE,20200615,0
000992.ZICN,20110802,中证全指金融,000992,000009.XSHE,中国宝安,000009,XSHE,20130701,0
000992.ZICN,20110802,中证全指金融,000992,000011.XSHE,深物业A,000011,XSHE,20150615,0
000992.ZICN,20110802,中证全指金融,000992,000024.XSHE,招商地产,000024,XSHE,20151230,0
000992.ZICN,20110802,中证全指金融,000992,000029.XSHE,深深房A,000029,XSHE,20130104,0
000992.ZICN,20110802,中证全指金融,000992,000031.XSHE,大悦城,000031,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,000036.XSHE,华联控股,000036,XSHE,20140616,0
000992.ZICN,20110802,中证全指金融,000992,000046.XSHE,泛海控股,000046,XSHE,20170612,0
000992.ZICN,20110802,中证全指金融,000992,000402.XSHE,金融街,000402,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,000506.XSHE,中润资源,000506,XSHE,20150615,0
000992.ZICN,20110802,中证全指金融,000992,000511.XSHE,烯碳退,000511,XSHE,20120104,0
000992.ZICN,20110802,中证全指金融,000992,000514.XSHE,渝开发,000514,XSHE,20131216,0
000992.ZICN,20110802,中证全指金融,000992,000517.XSHE,荣安地产,000517,XSHE,20140616,0
000992.ZICN,20110802,中证全指金融,000992,000537.XSHE,广宇发展,000537,XSHE,20120702,0
000992.ZICN,20110802,中证全指金融,000992,000540.XSHE,中天金融,000540,XSHE,20181217,0
000992.ZICN,20110802,中证全指金融,000992,000562.XSHE,宏源证券,000562,XSHE,20150126,0
000992.ZICN,20110802,中证全指金融,000992,000608.XSHE,阳光股份,000608,XSHE,20141215,0
000992.ZICN,20110802,中证全指金融,000992,000616.XSHE,海航投资,000616,XSHE,20171211,0
000992.ZICN,20110802,中证全指金融,000992,000631.XSHE,顺发恒业,000631,XSHE,20170612,0
000992.ZICN,20110802,中证全指金融,000992,000667.XSHE,美好置业,000667,XSHE,20181217,0
000992.ZICN,20110802,中证全指金融,000992,000671.XSHE,阳光城,000671,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,000686.XSHE,东北证券,000686,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,000718.XSHE,苏宁环球,000718,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,000728.XSHE,国元证券,000728,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,000776.XSHE,广发证券,000776,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,000783.XSHE,长江证券,000783,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,000861.XSHE,海印股份,000861,XSHE,20170612,0
000992.ZICN,20110802,中证全指金融,000992,000897.XSHE,津滨发展,000897,XSHE,20170612,0
000992.ZICN,20110802,中证全指金融,000992,000918.XSHE,嘉凯城,000918,XSHE,20120104,0
000992.ZICN,20110802,中证全指金融,000992,000926.XSHE,福星股份,000926,XSHE,20191216,0
000992.ZICN,20110802,中证全指金融,000992,000931.XSHE,中关村,000931,XSHE,20161212,0
000992.ZICN,20110802,中证全指金融,000992,000965.XSHE,天保基建,000965,XSHE,20120104,0
000992.ZICN,20110802,中证全指金融,000992,000979.XSHE,中弘退,000979,XSHE,20181217,0
000992.ZICN,20110802,中证全指金融,000992,600000.XSHG,浦发银行,600000,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600015.XSHG,华夏银行,600015,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600016.XSHG,民生银行,600016,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600030.XSHG,中信证券,600030,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600036.XSHG,招商银行,600036,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600052.XSHG,浙江广厦,600052,XSHG,20120104,0
000992.ZICN,20110802,中证全指金融,000992,600064.XSHG,南京高科,600064,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600109.XSHG,国金证券,600109,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600158.XSHG,中体产业,600158,XSHG,20160613,0
000992.ZICN,20110802,中证全指金融,000992,600159.XSHG,大龙地产,600159,XSHG,20120104,0
000992.ZICN,20110802,中证全指金融,000992,600173.XSHG,卧龙地产,600173,XSHG,20120702,0
000992.ZICN,20110802,中证全指金融,000992,600175.XSHG,退市美都,600175,XSHG,20120702,0
000992.ZICN,20110802,中证全指金融,000992,600185.XSHG,格力地产,600185,XSHG,20130104,0
000992.ZICN,20110802,中证全指金融,000992,600208.XSHG,新湖中宝,600208,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600223.XSHG,鲁商置业,600223,XSHG,20161212,0
000992.ZICN,20110802,中证全指金融,000992,600225.XSHG,*ST松江,600225,XSHG,20130104,0
000992.ZICN,20110802,中证全指金融,000992,600239.XSHG,云南城投,600239,XSHG,20161212,0
000992.ZICN,20110802,中证全指金融,000992,600240.XSHG,退市华业,600240,XSHG,20190617,0
000992.ZICN,20110802,中证全指金融,000992,600246.XSHG,万通发展,600246,XSHG,20150615,0
000992.ZICN,20110802,中证全指金融,000992,600256.XSHG,广汇能源,600256,XSHG,20130701,0
000992.ZICN,20110802,中证全指金融,000992,600266.XSHG,北京城建,600266,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600322.XSHG,天房发展,600322,XSHG,20151214,0
000992.ZICN,20110802,中证全指金融,000992,600325.XSHG,华发股份,600325,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600369.XSHG,西南证券,600369,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600376.XSHG,首开股份,600376,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600383.XSHG,金地集团,600383,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600503.XSHG,华丽家族,600503,XSHG,20190617,0
000992.ZICN,20110802,中证全指金融,000992,600510.XSHG,黑牡丹,600510,XSHG,20161212,0
000992.ZICN,20110802,中证全指金融,000992,600533.XSHG,栖霞建设,600533,XSHG,20140616,0
000992.ZICN,20110802,中证全指金融,000992,600576.XSHG,祥源文化,600576,XSHG,20120104,0
000992.ZICN,20110802,中证全指金融,000992,600622.XSHG,光大嘉宝,600622,XSHG,20130104,0
000992.ZICN,20110802,中证全指金融,000992,600638.XSHG,新黄浦,600638,XSHG,20190617,0
000992.ZICN,20110802,中证全指金融,000992,600639.XSHG,浦东金桥,600639,XSHG,20181217,0
000992.ZICN,20110802,中证全指金融,000992,600641.XSHG,万业企业,600641,XSHG,20130701,0
000992.ZICN,20110802,中证全指金融,000992,600643.XSHG,爱建集团,600643,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600649.XSHG,城投控股,600649,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600657.XSHG,信达地产,600657,XSHG,20160613,0
000992.ZICN,20110802,中证全指金融,000992,600658.XSHG,电子城,600658,XSHG,20130701,0
000992.ZICN,20110802,中证全指金融,000992,600663.XSHG,陆家嘴,600663,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600675.XSHG,中华企业,600675,XSHG,20151214,0
000992.ZICN,20110802,中证全指金融,000992,600683.XSHG,京投发展,600683,XSHG,20140616,0
000992.ZICN,20110802,中证全指金融,000992,600716.XSHG,凤凰股份,600716,XSHG,20170612,0
000992.ZICN,20110802,中证全指金融,000992,600724.XSHG,宁波富达,600724,XSHG,20141215,0
000992.ZICN,20110802,中证全指金融,000992,600736.XSHG,苏州高新,600736,XSHG,20171211,0
000992.ZICN,20110802,中证全指金融,000992,600743.XSHG,华远地产,600743,XSHG,20190617,0
000992.ZICN,20110802,中证全指金融,000992,600747.XSHG,退市大控,600747,XSHG,20160613,0
000992.ZICN,20110802,中证全指金融,000992,600748.XSHG,上实发展,600748,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600759.XSHG,洲际油气,600759,XSHG,20150615,0
000992.ZICN,20110802,中证全指金融,000992,600773.XSHG,西藏城投,600773,XSHG,20190617,0
000992.ZICN,20110802,中证全指金融,000992,600816.XSHG,*ST安信,600816,XSHG,20200615,0
000992.ZICN,20110802,中证全指金融,000992,600823.XSHG,世茂股份,600823,XSHG,20161212,0
000992.ZICN,20110802,中证全指金融,000992,600837.XSHG,海通证券,600837,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600895.XSHG,张江高科,600895,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,601988.XSHG,中国银行,601988,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,600048.XSHG,保利地产,600048,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,601588.XSHG,北辰实业,601588,XSHG,20130104,0
000992.ZICN,20110802,中证全指金融,000992,601398.XSHG,工商银行,601398,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,601628.XSHG,中国人寿,601628,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,601166.XSHG,兴业银行,601166,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,601318.XSHG,中国平安,601318,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,601998.XSHG,中信银行,601998,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,601328.XSHG,交通银行,601328,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,002142.XSHE,宁波银行,002142,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,601009.XSHG,南京银行,601009,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,002146.XSHE,荣盛发展,002146,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,601169.XSHG,北京银行,601169,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,601939.XSHG,建设银行,601939,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,601601.XSHG,中国太保,601601,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,601099.XSHG,太平洋,601099,XSHG,,1
000992.ZICN,20110802,中证全指金融,000992,002244.XSHE,滨江集团,002244,XSHE,,1
000992.ZICN,20110802,中证全指金融,000992,601788.XSHG,光大证券,601788,XSHG,20131216,0
000992.ZICN,20110802,中证全指金融,000992,002285.XSHE,世联行,002285,XSHE,,1
